HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
299,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,laysanensis,Laysan duck,365,365,28,,3.8,1,,26,,500,,12,576,wild,small,acceptable,,,,,,"4,45,576"
300,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,penelope,Eurasian wigeon,365,365,24,,8,,,,,660,,35.2,450,wild,medium,acceptable,,,2.8538,723,,"4,25,44,44,50,729"
301,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Mallard,365,365,26,,9,1,,32.8,,1048.1,0.12,29.1,,unknown,medium,acceptable,,,4.068,1020,,"61,39,44,37,44,44,45,50,00,00,000"
302,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,querquedula,Garganey,365,365,,,,,,,,326,,14.7,450,wild,medium,acceptable,,,,,,"45,07,29,820"
303,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,rhynchotis,Australasian shoveler,,,,,,,,,,665,,,,unknown,tiny,low,,,,,,"1,30,51,308"
304,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,rubripes,American black duck,365,365,28,,9,1,,32,,998.7,0.084,26.6,972,wild,large,acceptable,,,3.6076,904,,"4,25,43,74,44,44,57,32,000"
305,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,strepera,Gadwall,240,240,26,,10,1,,35.6,,791,0.115,28,972,unknown,medium,acceptable,,,,,,"4,37,44,44,45,45,07,32,000"
306,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,superciliosa,Pacific black duck,,,,,,,,,,981,,27.2,1305,wild,large,acceptable,,,,,,"1,30,51,308"
307,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,albifrons,Greater white-fronted goose,1095,1095,27,,5,1,,90.3,,2681,,47,445,captivity,medium,acceptable,,,,,,"43,74,44,445"
308,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,anser,Greylag goose,1095,1095,,,,,,,,3308.5,0.104,31,575,captivity,large,high,,,,,,"54,35,75,72,97,32,820"
309,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,brachyrhynchus,Pink-footed goose,1095,1095,,,,,,,,2645,,40.9,450,wild,medium,acceptable,,,,,,"45,07,29,820"
310,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,erythropus,Lesser white-fronted goose,1090,,,,,,,,,1779.25,,14.8,450,wild,medium,questionable,,,,,,"45,01,308"
311,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,fabalis,Bean goose,1095,1095,28,,4,,,,,3348,,25.6,450,wild,medium,acceptable,,,,,,"44,44,50,729"
312,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,affinis,Lesser scaup,365,365,24,,10,1,,30.8,,787,0.091,18.3,576,wild,large,acceptable,,,,,,"4,44,44,55,76,73,21,140"
313,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,americana,Redhead,365,365,26,,13,1,,37.6,,1077.3,0.089,22.6,427,wild,large,acceptable,,,,,,"4,27,44,44,45,732"
314,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,australis,Hardhead,,,,,,,,,,840,,,,unknown,small,low,,,,,,"1,30,51,308"
315,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,collaris,Ring-necked duck,365,365,27,,9,1,,29.3,,737,,20.4,577,wild,large,acceptable,,,,,,"44,44,45,577"
316,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,ferina,Common pochard,365,365,,,,,,,,823,,23.2,450,wild,medium,acceptable,,,,,,"45,07,29,820"
317,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,fuligula,Tufted duck,365,365,,,,,,,,701.5,0.144,45.2,450,wild,medium,acceptable,,,,,,"4,50,72,97,32,820"
318,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,marila,Greater scaup,365,365,26,,9,1,,46.3,,928.5,,22.1,576,wild,large,acceptable,,,,,,"4,44,44,55,76,729"
319,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,valisineria,Canvasback,240,240,24,,9,1,,44.7,,1208.8,0.087,29.5,427,wild,large,acceptable,,,,,,"42,74,37,44,44,45,732"
320,Animalia,Chordata,Aves,Anseriformes,Anatidae,Biziura,lobata,Musk duck,,,,,,,,,,1697.5,,6.2,1305,wild,tiny,acceptable,,,,,,"1,30,51,308"
321,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,bernicla,Brent goose,730,730,24,,4,1,,43.6,,1163.2,0.08,28.8,450,wild,large,acceptable,,,,,,"44,44,45,45,07,29,732"
322,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,canadensis,Canada goose,730,730,26,,5,1,,85.5,,3200,0.113,42,,unknown,medium,acceptable,,,,,,"43,74,44,44,57,29,732"
323,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,hutchinsii,Cackling goose,730,730,,,,,,,,1940.1,,18.3,427,wild,medium,acceptable,,,,,,"4,27,82,01,308"
324,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,leucopsis,Barnacle goose,730,730,,,,,,,,1687,,28.2,450,wild,medium,acceptable,,,,,,"45,07,29,82,01,14,31,100"
325,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,sandvicensis,Hawaiian goose,912,730,30,,4,1,,90.8,,2150,,42,445,wild,medium,acceptable,,,,,,"44,51,143"
326,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,albeola,Bufflehead,730,730,30,,8,1,,23.8,,400,,18.7,427,wild,medium,acceptable,,,,,,"42,74,38,445"
327,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,clangula,Common goldeneye,730,730,30,,10,1,,38.1,,895.86,,20.9,450,wild,large,acceptable,0.4,,,,,"4,27,44,44,45,45,01,140"
328,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,islandica,Barrow's goldeneye,730,730,29,,11,1,,,,957.15,,18,576,wild,medium,acceptable,,,,,,"44,44,45,576"
329,Animalia,Chordata,Aves,Anseriformes,Anatidae,Callonetta,leucophrys,Ringed teal,365,365,,,,,,,,365.5,,,,unknown,medium,low,,,,,,820
330,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cereopsis,novaehollandiae,Cape barren goose,,,,,,,,,,3980,,29.1,1305,wild,medium,acceptable,,,,,,"5,75,82,01,305"
331,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,caerulescens,Snow goose,730,730,24,,4,1,,95,,2806.65,0.078,27.5,427,wild,large,acceptable,,,,,,"42,74,44,44,57,29,73,20,000"
332,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,canagica,Emperor goose,365,365,24,,4.9,1,,81.8,,2148,,12,427,wild,small,acceptable,,,,,,"42,74,45,818"
333,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,rossii,Ross's goose,570,570,21,,4,1,,65,,1715,,22.5,818,wild,large,acceptable,,,,,,"44,44,45,818"
334,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chenonetta,jubata,Maned duck,,,,,,,,,,812.5,,9.1,1305,wild,large,acceptable,,,,,,"1,30,51,308"
335,Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,hyemalis,Oldsquaw,730,730,24,,7,1,,25,,872,,22.7,450,wild,small,acceptable,,,,,,"44,44,45,450"
336,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,atratus,Black swan,821,821,,,,,,,,5650,,24.7,1305,wild,large,acceptable,,,,,,"82,01,305"
337,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,buccinator,Trumpeter swan,730,730,35,,5,1,,220,,13000,,32.5,1,captivity,small,acceptable,,,,,,"1,43,74,38,445"
338,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,columbianus,Tundra swan,730,730,31,,4,1,,179,,6350,,24.1,450,wild,medium,acceptable,,,,,,"4,37,44,44,45,45,01,140"
339,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Whooper swan,1460,1460,,,,,,,,9350,,26.7,450,wild,large,acceptable,,,,,,"45,07,29,820"
340,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,olor,Mute swan,1095,1095,36,,5.3,1,,225,,8300,0.08,40,1304,wild,large,acceptable,0.1,,,,,"6,14,44,44,57,12,72,97,00,00,00,00,00,00,00,000"
341,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,Black-bellied whistling duck,365,365,27,,14,1,,30.8,,828,0.17,8.2,576,wild,small,acceptable,,,,,,"4,44,44,55,76,732"
342,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,bicolor,Fulvous whistling duck,365,365,25,,13,1,,27,,737.1,,11.2,427,wild,small,questionable,,,,,,"42,74,44,445"
343,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,eytoni,Plumed whistling duck,,,,,,,,,,792,,,,unknown,small,low,,,,,,"1,30,51,308"
344,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,viduata,White-faced whistling duck,,,27,,8,,,,,610,,12,448,captivity,large,acceptable,,,,,,448
345,Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,histrionicus,Harlequin duck,365,365,28,,6,1,,32.9,,561.25,,14.6,427,wild,medium,acceptable,,,,,,"4,27,445"
346,Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes,cucullatus,Hooded merganser,730,730,31,,11,1,,31,,634.375,,15.7,986,captivity,medium,acceptable,,,,,,"61,42,74,38,44,44,45,900"
347,Animalia,Chordata,Aves,Anseriformes,Anatidae,Malacorhynchus,membranaceus,Pink-eared duck,,,,,,,,,,360.75,,,,unknown,small,low,,,,,,"1,30,51,308"
348,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,fusca,White-winged scoter,730,730,28,,11,1,,54.5,,1360.8,,21.4,450,wild,medium,acceptable,,,,,,"4,44,44,54,50,729"
349,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,nigra,Black scoter,730,730,29,,9,1,,43.2,,1052.2,,16.8,450,wild,medium,acceptable,,,,,,"4,45,450"
350,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,perspicillata,Surf scoter,730,730,,,,,,,,1097.5,,9.5,427,wild,tiny,acceptable,,,,,,"42,78,20,977"
351,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergellus,albellus,Smew,727,,,,,,,,,610,,10,450,wild,medium,acceptable,,,,,,"4,50,82,01,308"
352,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,merganser,Common merganser,730,730,30,,10,1,,46.2,,1445,,14.8,450,wild,medium,acceptable,,,,,,"4,44,44,54,50,729"
353,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,serrator,Red-breasted merganser,730,730,32,,10,1,,,,1020.6,0.063,21.3,450,wild,small,acceptable,,,,,,"44,44,45,45,07,29,732"
354,Animalia,Chordata,Aves,Anseriformes,Anatidae,Netta,rufina,Red-crested pochard,365,365,,,,,,,,1118,,12.9,450,wild,medium,acceptable,,,,,,"45,07,29,820"
355,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,australis,Blue-billed duck,,,,,,,,,,798,,16,1,captivity,medium,acceptable,,,,,,"1,820"
356,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,Ruddy duck,365,365,23,,8,1,,43,,542,,20,"Sarah Shannon, pers. comm.",captivity,medium,acceptable,,,,,,"44,44,45,576"
357,Animalia,Chordata,Aves,Anseriformes,Anatidae,Plectropterus,gambensis,Spur-winged goose,,,,,,,,,,3869,,11.3,575,captivity,medium,acceptable,,,,,,"5,75,820"
358,Animalia,Chordata,Aves,Anseriformes,Anatidae,Polysticta,stelleri,Steller's eider,730,730,26,,8,1,,,,907.2,,23,818,wild,medium,acceptable,,,,,,"44,44,45,818"
359,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,fischeri,Spectacled eider,730,730,,,4.7,,,,,1558,,18,427,wild,medium,questionable,,,,,,"4,27,445"
360,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,Common eider,730,730,28,,4,1,,76.4,,2130,0.061,37.8,450,wild,medium,acceptable,,,,,,"44,44,45,45,07,29,73,20,000"
361,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,spectabilis,King eider,730,730,23,,5,1,,,,1617,,18.9,576,wild,small,questionable,,,,,,"44,44,45,576"
362,Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,tadorna,Common shelduck,730,730,,,,,,,,1152,0.074,24.8,450,wild,medium,acceptable,,,,,,"4,50,72,97,32,820"
363,Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,tadornoides,Australian shelduck,,,,,,,,,,1364,,13.1,1305,wild,large,acceptable,,,,,,"1,30,51,308"
364,Animalia,Chordata,Aves,Anseriformes,Anseranatidae,Anseranas,semipalmata,Magpie goose,730,1461,,,,,,,,2071,,24.8,1305,wild,medium,acceptable,,,,,,"1,30,51,308"
365,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,cristatus,Australian owlet-nightjar,,,,,,,,,,44.125,,5.9,1305,wild,small,acceptable,,,,,,"1,30,51,308"
366,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,terraereginae,Australian swiftlet,,,,,,,,,,11.875,,9.3,1305,wild,medium,acceptable,,,,,,"1,30,51,308"
367,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,saxatalis,White-throated swift,,,24,,4,1,,,,31,,10,427,wild,medium,acceptable,,,,,,"42,74,44,445"
368,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,apus,Common swift,730,730,,,,,,,,37.6,0.262,21.1,450,wild,medium,acceptable,0.1,5,0.4372,44.9,,"24,36,45,05,10,72,97,30,000"
369,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,melba,Alpine swift,730,730,,,,,,,,102.7,,26,729,wild,medium,acceptable,,,,,,"7,29,82,08,74,89,81,14,00,000"
370,Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,pelagica,Chimney swift,365,365,20,,4.5,1,,1.25,,22.8,0.345,15,579,wild,large,acceptable,,,,,,"4,44,44,55,79,732"
371,Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,vauxi,Vaux's swift,365,365,19,,6,1,,1.5,,17,0.4,,,unknown,small,low,,,,,,"4,44,44,55,79,732"
372,Animalia,Chordata,Aves,Apodiformes,Apodidae,Cypseloides,niger,Black swift,365,365,24,,1,1,,3.3,,45,,16.1,427,wild,medium,acceptable,,,,,,"42,74,44,445"
373,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,violiceps,Violet-crowned hummingbird,,,,,,,,,,5.1,,6.1,427,wild,medium,acceptable,,,,,,"42,71,308"
374,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,yucatanensis,Buff-bellied hummingbird,,,,,,,,,,3.9,,11.2,427,wild,medium,acceptable,,,,,,"4,27,820"
375,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,alexandri,Black-chinned hummingbird,365,365,,,2,,,,,3,,11.2,427,wild,small,acceptable,,,,,,"4,27,445"
376,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,colubris,Ruby-throated hummingbird,365,365,13,,2,2,,0.62,,3.1,,9.1,427,wild,small,acceptable,,,0.07832,3.2,,"4,25,42,74,44,44,58,18,000"
377,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calothorax,lucifer,Lucifer hummingbird,,,15,,2,2,,,,3.3,,4.1,427,wild,medium,acceptable,,,,,,"4,27,445"
378,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,anna,Anna's hummingbird,365,365,16,,2,2,,,,4.4,,8.5,577,wild,tiny,acceptable,,,0.1175,4.8,,"4,25,44,44,45,577"
379,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,costae,Costa's hummingbird,,,16,,2,1,,,,3.1,,6,,unknown,medium,acceptable,,,,,,"4,44,445"
380,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,latirostris,Broad-billed hummingbird,365,365,17,,2,,,,,3.3,,8.8,427,wild,medium,acceptable,,,,,,"4,27,445"
381,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,fulgens,Magnificent hummingbird,365,365,14,,2,,,,,8.1,,11,427,wild,medium,acceptable,,,,,,"42,74,45,820"
382,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lampornis,clemenciae,Blue-throated hummingbird,365,,18,,2,2,,,,7.6,0.462,12,444,unknown,medium,acceptable,,,,,,"44,44,45,732"
383,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lamprolaima,rhami,Garnet-throated hummingbird,,,,,,,,,,7.8,,8,1,wild,medium,acceptable,,,,,,"1,820"
384,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,platycercus,Broad-tailed hummingbird,365,365,16,,2,2,,0.4,,4.2,,14,,unknown,medium,acceptable,0.25,,,,,"26,24,44,445"
385,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,rufus,Rufous hummingbird,365,365,16,,2,1,,,,3.5,0.38,8.9,427,wild,small,acceptable,,,0.06853,3.8,,"42,54,27,44,44,45,732"
386,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,sasin,Allen's hummingbird,730,730,16,,2,2,,0.29,,3,,,,unknown,small,low,,,0.06853,3.7,,"4,25,42,74,44,445"
387,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Stellula,calliope,Calliope hummingbird,365,365,15,,2,,,,,2.6,,7,427,wild,tiny,acceptable,,,0.06853,3,,"42,54,27,44,48,20,977"
388,Animalia,Chordata,Aves,Apterygiformes,Apterygidae,Apteryx,australis,Brown kiwi,1461,548,75,,1,,,325,,2600,0.0312,35,1,captivity,small,acceptable,,,4.029,2380,,"1,43,54,38,73,21,308"
389,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Buceros,bicornis,Great hornbill,,,,,,,,,,2798.5,,33.4,575,captivity,medium,acceptable,,,,,,"5,75,820"
390,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Bycanistes,subcylindricus,Grey-cheeked hornbill,,,,,,,,,,1250,,31.8,972,captivity,medium,acceptable,,,,,,972
391,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Ceratogymna,atrata,Black-casqued hornbill,,,,,,,,,,1203.5,,19.3,575,captivity,small,acceptable,,,,,,"5,75,820"
392,Animalia,Chordata,Aves,Bucerotiformes,Bucorvidae,Bucorvus,leadbeateri,Southern ground hornbill,1638,1096,,,,,,,,3767.5,,70,1,captivity,medium,acceptable,,,,,,"1,82,01,308"
393,Animalia,Chordata,Aves,Bucerotiformes,Upupidae,Upupa,epops,Eurasian hoopoe,365,365,,,,,,,,67.1,,11.1,729,wild,medium,acceptable,,,,,,"7,29,820"
394,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,carolinensis,Chuck-will's-widow,,,20,,2.5,1,,,,115,,14.8,445,wild,medium,acceptable,,,,,,445
395,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,europaeus,Eurasian nightjar,365,365,,,,,,,,67,,11.9,450,wild,medium,acceptable,,,,,,"45,07,29,820"
396,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,ruficollis,Red-necked nightjar,,,,,,,,,,68.5,,13.2,450,wild,medium,acceptable,,,,,,"4,50,820"
397,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,vociferus,Whip-poor-will,,,19,,2,2,,5.4,,54,,15,445,wild,tiny,acceptable,,,,,,"4,44,445"
398,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Common nighthawk,,,19,,2,1,,5.95,,79.3,,10,427,wild,small,acceptable,,,0.4421,72,,"42,74,35,44,44,45,820"
399,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,nuttallii,Common poorwill,365,365,20,,2,2,,,,37.5,,,,unknown,small,low,,,0.1566,35,,"1,42,54,44,445"
400,Animalia,Chordata,Aves,Caprimulgiformes,Podargidae,Podargus,ocellatus,Marbled frogmouth,,,,,,,,,,169,,,,unknown,tiny,low,,,,,,"1,30,51,308"
401,Animalia,Chordata,Aves,Caprimulgiformes,Podargidae,Podargus,strigoides,Tawny frogmouth,,,,,,,,,,349,,17.9,1305,wild,medium,acceptable,,,,,,"1,30,51,308"
402,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,bennetti,Dwarf cassowary,1461,1461,,,,,,,,35000,,26,575,captivity,tiny,acceptable,,,,,,"5,75,82,01,308"
403,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,casuarius,Southern cassowary,1454,,,,,,,,,44000,,30,1142,captivity,small,questionable,,,,,,"82,01,14,21,308"
404,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,unappendiculatus,Northern cassowary,,,,,,,,,,47300,,22,575,captivity,small,acceptable,,,,,,"5,75,820"
405,Animalia,Chordata,Aves,Casuariiformes,Dromaiidae,Dromaius,novaehollandiae,Emu,727,,,,,,,,,38925,,16.6,1,captivity,large,acceptable,,,,,,"1,31,71,14,21,308"
406,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,cristatella,Crested auklet,1095,1095,34,,1,1,,,,289,0.197,10.8,427,wild,medium,acceptable,,,,,,"4,27,44,44,45,732"
407,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,pusilla,Least auklet,1095,1095,30,,1,1,,,,96,0.221,8.1,427,wild,medium,acceptable,,,,,,"4,27,44,44,45,732"
408,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,pygmaea,Whiskered auklet,,1095,,,1,,,,,120,,15,427,wild,medium,acceptable,,,,,,"4,27,445"
409,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,torda,Razorbill,1460,1460,36,,1,1,,63.8,,726,0.285,42,450,wild,small,acceptable,,,,,,"4,44,44,54,50,72,97,32,000"
410,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,marmoratus,Marbled murrelet,730,730,,,,,,,,222,,10,427,wild,medium,acceptable,,,,,,"4,27,818"
411,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,columba,Pigeon guillemot,1095,1095,31,,2,,,43.7,,483.8,0.156,15.2,427,wild,medium,acceptable,,,,,,"4,27,44,44,45,732"
412,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,grylle,Black guillemot,1095,1095,25,,2,1,,33,,427.5,,29.9,450,wild,small,acceptable,,,,,,"4,44,44,54,50,729"
413,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cerorhinca,monocerata,Rhinoceros auklet,1095,1095,45,,1,1,,54.5,,544.1,0.098,28.2,427,wild,small,acceptable,,,,,,"4,27,44,44,45,732"
414,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,arctica,Atlantic puffin,1460,1460,42,,1,1,,39.7,,490.5,0.145,45,450,wild,large,acceptable,,,,,,"44,44,45,45,07,29,73,20,000"
415,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Ptychoramphus,aleuticus,Cassin's auklet,730,730,,,,,,,,184,,16.2,427,wild,medium,acceptable,,,,,,"42,78,20,97,71,373"
416,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Synthliboramphus,antiquus,Ancient murrelet,730,730,33,,2,1,,32.9,,223.6,,,,unknown,small,low,,,,,,"4,44,445"
417,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Synthliboramphus,hypoleucus,Xantus' murrelet,730,730,34,,2,1,,24.8,,167,,15,1,wild,medium,acceptable,,,,,,"1,445"
418,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,aalge,Common murre,1825,1825,31,,1,1,,,,992,0.201,42.8,450,wild,large,acceptable,,,6.8224,956,,"43,54,44,44,54,50,72,90,00,00,00,000"
419,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,lomvia,Thick-billed murre,1862,2081,33,,1,1,,70.4,,964,0.212,29,427,wild,medium,acceptable,,,6.8224,989,,"4,27,43,54,44,44,57,32,00,00,000"
420,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,grallarius,Bush stone-curlew,,,,,,,,,,667.967,,5.5,1305,wild,medium,questionable,,,,,,"1,30,51,308"
421,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,oedicnemus,Eurasian thick-knee,727,,,,,,,,,459,0.081,17.9,450,wild,medium,acceptable,,,,,,"45,07,32,82,01,308"
422,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,alexandrinus,Snowy plover,310,331,24,,3,,,6,,37,,19,450,wild,medium,acceptable,,,,,,"4,44,44,54,50,729"
423,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,bicinctus,Double-banded plover,363,,,,,,,,,59.4,,18.3,1305,wild,large,acceptable,,,,,,"1,30,51,308"
424,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,dubius,Little ringed plover,730,730,,,,,,,,38.7,0.138,13,450,wild,medium,acceptable,,,0.416,36,,"45,05,10,72,97,32,820"
425,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,hiaticula,Common ringed plover,365,365,,,,,,,,64,0.177,20.8,450,wild,medium,acceptable,,,,,,"4,50,72,97,32,820"
426,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,leschenaultii,Greater sand plover,727,,,,,,,,,75,,21.6,1305,wild,large,acceptable,,,,,,"1,30,51,308"
427,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,melodus,Piping plover,365,365,28,,4,1,,6.75,,49,0.152,14,576,wild,medium,acceptable,,,,,,"44,04,44,44,55,76,732"
428,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,mongolus,Lesser sand plover,,,,,,,,,,64,,15.6,1305,wild,medium,acceptable,,,,,,"1,30,51,308"
429,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,montanus,Mountain plover,365,365,,,6,,,,,100,,10,445,wild,medium,acceptable,,,,,,445
430,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,morinellus,Eurasian dotterel,727,,,,,,,,,108.5,,11.8,450,wild,medium,acceptable,,,,,,"4,50,82,01,308"
431,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,ruficapillus,Red-capped plover,428,331,,,,,,,,41.2,,21,1305,wild,medium,acceptable,,,,,,"1,30,51,308"
432,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,semipalmatus,Semipalmated plover,912,912,24,,4,1,,6.52,,52,,9.2,427,wild,small,acceptable,,,,,,"42,74,44,445"
433,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,vociferus,Killdeer,365,365,24,,4,,,9.85,,88,,10.9,576,wild,small,acceptable,,,,,,"44,44,45,576"
434,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Elseyornis,melanops,Black-fronted dotterel,,,,,,,,,,31.5,,,,unknown,small,low,,,,,,"1,30,51,308"
